SN ,Root word ,Gloss   ,POS ,Syn 1 ,Syn 2 ,Syn 3 ,,
110,Hunda ,,Ibsa Maqaa ,Danuu ,Cufa ,Duucha,Mara ,
111,Badhaadhe ,,Xumura ,Duroome ,Soorome ,Deebane,Hore ,
112,Boqqolloo ,,Maqaa ,Badala ,Alquuqa,Midhaan ,,
113,Surree ,,Maqaa ,Kofoo ,Lukee,Hidhaa ,,
114,Godoo ,,Maqaa ,Harii,Gad Ijjattii ,,,
115,Fokkistuu ,,Ibsa Maqaa ,Hamtuu,Godeetti ,,,
116,Soreessa ,,Ibsa Maqaa ,Badhaadhee,,Duressa ,,
117,Balleessuu ,,Ibsa Maqaa ,Haxawuu,Xumura ,Haquu ,,
118,Booda ,,walqabsiistuu,Maayii,Firoomsee ,Gulana ,,
119,Makoodii ,,Maqaa ,Bulaalla ,Sabaliisa,Gugee ,,
120,Qomoo ,,Maqaa ,Gosa,Sanyii ,,,
121,Dubartii ,,Maqaa ,Elellee,Nadheen ,,,
122,Ariifataa ,,Ibsa Maqaa ,Qirqiraa ,Daddafaa,Jarjaraa ,,
123,Albaadhessa ,,Ibsa Maqaa ,Hafuura,Agarii ,,,
124,Agartuu,,ibsa maqaa ,ija,ilaaltuu,,,
125,Aarsuu,,Ibsa Xumuraa ,qilleensa gubataa gad lakkisuu,Bobeessuudhaan qilleensa gubata gad lakkisuu,,,
126,Baasaa,,Maqaa /ibsa maqaa,Gadi-baasaa,ari'aa,Garaa kaasaa,,
127,Bituu,,Ibsa Xumuraa ,Bulchuu,waan gurguramuu gatii baasani fudhachuu,,,
128,Boqonnaa,,Maqaa ,Hafuura baafachuu,Baayyanachuu,,,
129,Bulchaa,,Maqaa ,Hoogganaa ,Ajajaa,Nama biyya bulchu,,
130,Buufachuu,,Ibsa Xumuraa ,Waraabbachuu,Gad-fudhachuu,Bu'aa argachuu,,
131,Qaanessuu,,Maqaa ,saalfachiisuu,salphisuu,,,
132,Teessuma,layout,maqaa,Barcuma,,,,
133,Dhibaa'aa ,,Xumura ,Daagii,jaatanoo,abidhoo,,
134,Haasa'aa,,Ibsa Xumuraa ,Dubbii,,,,
135,Sarara,line,Xumura ,toora,,,,
136,adii,,Xumura ,calqii,weeca,,,
137,kitaabaa,,Maqaa,macaafaa,,,,
138,kolfuu,,Ibsa Maqaa ,seeqachuu,,,,
139,banuu,,Ibsa Xumuraa ,saaquu,,,,
140,baachuu,,Ibsa Xumuraa ,ofirra kaa'uu,,,,
141,Dhangala'aa,,maqaa,yaatoo,,,,
142,Liqii ,,Ibsa Xumuraa ,ergisa,ergifannaa,,,
143,Kadhate,,Xumura ,gaafate,,,,
144,deeme,,Xumura ,qajeele,sokke,,,
145,Nyaate,,xumura,liqimse,alanfate,,,
146,Faaxuu,,maqaa,moluu,,,,
147,Doosee,,maqaa,kan waraqaan keessa taa'u,,,,
148,faachaa,,Ibsa Maqaa ,eegee,,,,
149,fashistii,,maqaa,garboomaa,,,,
150,faccisa,,xumura,ofirra ittisa ykn dhorka,,,,
151,fadda,,xumura,ballisa,dhisa,,,
152,faduula,,Ibsa Maqaa ,utuu hin tilmaamin dubbachuu,,,,
153,faga,,xumura,of raasa,of hurgufa,,,
154,raasa,,xumura,hurgufa,sosochoosa,,,
155,faganoo,,Ibsa Maqaa ,sarara tilmaamaa,,,,
156,Dabeessa ,,Ibsa Maqaa ,sodaataa,,,,
157,fincila,,Ibsa Maqaa ,didda  agarsiisuu,,,,
158,fincaa'aa,,maqaa,bishaan bakka ol ka'aa irraa gadi dhangala'uu,,,,
159,Soba ,,xumura,Dhara ,,,,
160,Fokkisaa ,,Ibsa Maqaa ,kan bifa hin tolle,,,,
161,daandii,,maqaa,Karaa,,,,
162,Seenuu,,Ibsa Xumuraa ,olgaluu,,,,
163,Bokkaa ,,maqaa,rooba,,,,
164,geggeesaa,,Ibsa Maqaa ,Hoogganaa ,duree,,,
165,taaliga,,maqaa,to'ataa,,,,
166,ilaaltuu,,Ibsa Maqaa ,Agartuu ,,,,
167,amma,,Ibsa Xumuraa ,reefuu,dhihoo,,,
168,barsiisuu,,Ibsa Xumuraa ,madaqsuu,kan ofii gochuu,,,
169,dabalata,,xumura,edaasa,,,,
170,beeksisa,,Ibsa Maqaa ,dhadhessaa,,,,
171,jibba,hate,ibsa maqaa,Miira diinummaa,,,,
172,tooftaa,,Ibsa Xumuraa ,mala,,,,
173,arfii,to end,ibsa ,qubee,,,,
174,dursee,before now,xumura,ammaan dura,,,,
175,wiirtuu,center,ibsa maqaa,walakkaa,gidduu,,,
178,waarii,middle night,Ibsa Xumuraa ,halkan walakkaa,halkan qixxee,,,
179,gidiraa,,Ibsa Xumuraa ,gadadoo,hiraara,dararama,,
180,dogoggora,,Ibsa Xumuraa ,badii,balleessaa,,,
181,aarii,,xumura,dallansuu,,,,
182,yaaddoo,,Ibsa Xumuraa ,cinqii,badada,,,
183,dhiphataa,anxiaty,ibsa maqaa,cinqamaa,,,,
184,addeessa,Moon ,maqaa,Ji'a ,baatii,,,
185,barraaqa,Morning ,Ibsa Xumuraa ,obboroo,,,,
186,bookee,mosquoto,maqaa,bimmee,,,,
187,Haadha ,Mother ,maqaa,Harmee ,da'ee,coree,,
188,dokdoqqee,motorcycle,maqaa,bududdee,,,,
189,Tulluu,mountain,maqaa,gaara,tabba,,,
190,ciqilee,elbow,maqaa,hantuutee,,,,
191,eessayyuu,,ibsa maqaa,bakkayyuu,,,,
192,oftuulaa,arrogant,ibsa maqaa,farangaagsaa,,,,
193,waakkoo,mushroom,maqaa,uukkoo,amboshila,,,
194,Gowwaa ,,ibsa maqaa,jufunfula,sephaa,,,
195,morma,neck,maqaa,moqoo,lumma,,,
196,man'ee,nest,maqaa,godoo,gutoo,,,
197,abadan ,,ibsa xumura,konkumaa,tasa,qarayyuu,abilla,
198,itti aanee,next,xumura,ergasii,itti fufee,,,
199,shokorkota,nonsense,ibsa maqaa,hanshaafa,qaayyatu,,,
200,yeroo baay'ee,often,Ibsa Xumuraa ,irra deddeebi'ee,,,,
201,bareedduu,beautiful,ibsa maqaa,xurumbullee,miidhagduu,,,
202,banjaa,,maqaa,baanaa,birdilibsii,awusaa,,
203,gubbaa,over,Ibsa Xumuraa ,irra,,,,
204,dangulee,pea,maqaa,daangulee,haatoo,,,
205,fakkeettii,picture,maqaa,fakkii, suuraa,,,
206,tuullaa,pile,maqaa,kaabbaa,,,,
207,Killee,Egg ,maqaa,hanqaaquu,Buuphaa,,,
208,karoora,plan,xumura,akeeka,,,,
209, holqa,cave,maqaa,boongoo,qaalaa,,,
210,okkotee,pot,maqaa,giicuu,washoo,,,
211,dinnichaa,potato,maqaa,mosee,sayee,ifaatee,shonee,jurgufee
212,hiyyummaa,poverty,ibsa maqaa,dhaba,deegummaa,,,
213,boona,pride,ibsa maqaa,bajiga,galdaasa,,,
214,gumna,prostitute,xumura,sagaaggaltuu, dhadhaabamtuu,,,
215,huccuu,Clothes,maqaa,wayyaa, uffata,daara,,
216,diilallaa'aa ,cold,ibsa maqaa,qorraa,,,,
217,kosii,compost,maqaa,dikee,,,,
218,haaduu,razor,maqaa,qarabaa,shiggiree,,,
219,qophaa'aa,ready,xumura,qixaa'aa,,,,
220,qalbifachuu,recognize,Ibsa Xumuraa ,hubachuu,,,,
221,quunnamtii,connection,ibsa xumura,walitti dhufeenya,,,,
222,eegumsa,conservation,Ibsa Xumuraa ,kunuunsa,,,,
223,sirrii,correct,xumura,dhugaa,,,,
224,Aarsuu,,ibsa maqaa,Dallansiisuu,,,,
225,Baasaa,,maqa,dhukkuba garaa,,,,
226,Boqonnaa,,maqa,afuura baafacha,bayyanacha,,,
227,Bulchaa,,maqa,hogganaa,ajajaa,nama biyya bulchu,Nyaata,
228,Buufachuu,,xumura,Waraabbachuu,Gad-fudhachuu,Bu’aa argachuu,,
229,Caamsaa,,maqa,aduun gar malee o'u,Horiin ganna beela'e hinbawu,,,
230,Daakuu,,xumura,marqaan,daabboon,Bishaan,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
